0,7.0
1,4.0
2,6.0
3,4.0
4,7.0
5,2.0
6,2.0
7,4.0
8,7.0
9,4.0
10,6.0
11,5.0
12,5.0
13,1.0
14,6.0
15,5.0
16,3.0
17,3.0
18,3.0
19,7.0
20,3.0
21,3.0
22,6.0
23,4.0
24,1.0
25,3.0
26,4.0
27,4.0
28,3.0
29,5.0
30,7.0
31,2.0
32,1.0
33,3.0
34,3.0
35,7.0
36,5.0
37,2.0
38,5.0
39,6.0
40,3.0
41,3.0
42,5.0
43,3.0
44,3.0
45,6.0
46,6.0
47,5.0
48,1.0
49,6.0
50,7.0
51,6.0
52,5.0
53,7.0
54,6.0
55,1.0
56,1.0
57,2.0
58,7.0
59,7.0
60,4.0
61,2.0
62,1.0
63,7.0
64,6.0
65,5.0
66,4.0
67,1.0
68,6.0
69,5.0
70,5.0
71,7.0
72,4.0
73,3.0
74,3.0
75,3.0
76,5.0
77,7.0
78,4.0
79,2.0
80,4.0
81,2.0
82,5.0
83,6.0
84,3.0
85,6.0
86,4.0
87,1.0
88,1.0
89,5.0
90,3.0
91,6.0
92,2.0
93,6.0
94,4.0
95,3.0
96,5.0
97,6.0
98,4.0
99,2.0
100,6.0
101,2.0
102,3.0
103,4.0
104,3.0
105,3.0
106,2.0
107,2.0
108,4.0
109,1.0
110,7.0
111,4.0
112,7.0
113,4.0
114,1.0
115,3.0
116,7.0
117,1.0
118,6.0
119,7.0
120,6.0
121,5.0
122,1.0
123,1.0
124,2.0
125,6.0
126,2.0
127,6.0
128,3.0
129,5.0
130,3.0
131,3.0
132,1.0
133,4.0
134,7.0
135,7.0
136,2.0
137,2.0
138,6.0
139,7.0
140,1.0
141,7.0
142,7.0
143,1.0
144,7.0
145,1.0
146,5.0
147,5.0
148,1.0
149,6.0
150,7.0
151,2.0
152,2.0
153,1.0
154,2.0
155,7.0
156,2.0
157,2.0
158,1.0
159,3.0
160,4.0
161,2.0
162,7.0
163,1.0
164,1.0
165,5.0
166,2.0
167,6.0
168,2.0
169,1.0
170,7.0
171,7.0
172,5.0
173,1.0
174,3.0
